time,groupName,eventName,duration,eventURL,rsvpLimit,yesRSVPCount,city
2017-04-26T17:30:00-07:00,Sales Mastership,Sales Mastership: The Best Practices for Prospecting and Winning,0s,https://www.meetup.com/Sales-Mastership/events/238689619/,60,12,SF
2017-04-26T17:30:00-07:00,The Android Makers,Android Lightning Talks,3h30m0s,https://www.meetup.com/AndroidMakers/events/238160638/,99,5,SF
2017-04-26T18:00:00-07:00,AWS San Francisco | Official Events,Connecting Your Devices through AWS IoT,2h0m0s,https://www.meetup.com/AWS-SANFRANCISCO/events/238959155/,0,116,SF
2017-04-26T18:00:00-07:00,Secure Internet of Things Academy,"Talk IoT, network and socialize",2h0m0s,https://www.meetup.com/Secure-Internet-of-Things-Academy/events/239394926/,0,10,SF
2017-04-26T18:00:00-07:00,Code for San Francisco - Civic Hack Night,Weekly Civic Hack Night,3h30m0s,https://www.meetup.com/Code-for-San-Francisco-Civic-Hack-Night/events/238967430/,0,20,SF
2017-04-26T18:00:00-07:00,Bay Area Salesforce Developer Group,Women in Technology with Sandy Kurtzig & Leyla Seka,2h30m0s,https://www.meetup.com/ForceDotCom/events/238800651/,300,283,SF
2017-04-26T18:30:00-07:00,Hayward Techies & Makers,Let's Talk Tech,2h0m0s,https://www.meetup.com/Hayward-Techies/events/239375487/,0,5,SF
2017-04-26T19:00:00-07:00,The San Francisco WordPress Meetup,"Speed Geek: Extending WordPress, Theming and More!",0s,https://www.meetup.com/wordpress-sf/events/234830378/,0,39,SF
2017-04-26T19:00:00-07:00,Ace Monster Toys,Box Bots Build Party,2h30m0s,https://www.meetup.com/Ace-Monster-Toys/events/239376440/,20,4,SF
2017-04-26T19:00:00-07:00,Ace Monster Toys,Welding 101,27h0m0s,https://www.meetup.com/Ace-Monster-Toys/events/238197637/,5,5,SF
2017-04-26T19:00:00-07:00,Berkeley DevOps And Site Reliability Engineer Meetup,Jenkins  Role-based authorization security - assessment ,2h0m0s,https://www.meetup.com/meetup-group-mxhYhytO/events/238995381/,0,10,SF
2017-04-26T20:00:00-07:00,"Big Data (native Hadoop) Ingest & Transform, San Ramon",[Repeat] Intro to Big Data AppHub: Kinesis to S3 & S3 to HDFS Sync App Templates,2h0m0s,https://www.meetup.com/Big-Data-Ingest-San-Ramon/events/239370044/,0,3,SF
2017-04-27T08:00:00-07:00,Stacki San Francisco,StackiFest 2017,9h0m0s,https://www.meetup.com/Stacki-San-Francisco/events/237507145/,0,5,SF
2017-04-27T08:00:00-07:00,Stacki San Jose,StackiFest 2017,9h0m0s,https://www.meetup.com/Stacki-San-Jose/events/237507213/,0,14,SF
2017-04-27T10:00:00-07:00,ArangoDB Online Meetup,GraphQL and ArangoDB,0s,https://www.meetup.com/online-ArangoDB-meetup/events/239157303/,0,78,SF
2017-04-27T13:00:00-07:00,Neo4j Online Meetup,Learning Chinese with Neo4j,1h0m0s,https://www.meetup.com/Neo4j-Online-Meetup/events/239292412/,0,69,SF
2017-04-27T18:00:00-07:00,On Top of The Cloud: Salesforce.com MeetUp,San Francisco Entertainment & Tech Mixer + Expert Panel at 715 Harrison 4/27,2h0m0s,https://www.meetup.com/SF-Salesforce/events/239392723/,0,48,SF
2017-04-27T18:00:00-07:00,SF LegalTech Meetup,Drinks after work!,0s,https://www.meetup.com/SF-Legaltech-Meetup/events/238974425/,0,21,SF
2017-04-27T18:00:00-07:00,Code Your Face Off,Work Like a Developer: Intro to Terminal & Git,0s,https://www.meetup.com/meetup-code-your-face-off/events/239217012/,0,5,SF
2017-04-27T18:30:00-07:00,Swift Language User Group (San Francisco),Dealing With Asynchrony in a Synchronous Swift World with Greg Heo,0s,https://www.meetup.com/swift-language/events/239281336/,0,121,SF
2017-04-27T18:30:00-07:00,Bay Area Spark Meetup,Bay Area Apache Spark Meetup @ Grammarly and Adobe in SF,2h30m0s,https://www.meetup.com/spark-users/events/238830244/,180,180,SF
2017-04-27T18:30:00-07:00,SF Video Technology,Monthly Video Meetup,0s,https://www.meetup.com/SF-Video-Technology/events/236633040/,50,49,SF
2017-04-27T19:00:00-07:00,Noisebridge Hackerspace,Laser Safety Training,1h30m0s,https://www.meetup.com/noisebridge/events/238527933/,6,6,SF
2017-04-28T12:30:00-07:00,San Francisco Entrepreneurs & Startups,Executive Presence SF: The Path from Expertise to Authority,2h0m0s,https://www.meetup.com/sfentrepreneur/events/239310273/,0,5,SF
2017-04-28T18:00:00-07:00,Learn Web Development @ Rithm,4th Friday Happy Hour,2h0m0s,https://www.meetup.com/rithmschool/events/239195362/,0,8,SF
2017-04-29T08:00:00-07:00,Women Who Code Silicon Valley,WWCode Connect Conference,0s,https://www.meetup.com/Women-Who-Code-Silicon-Valley/events/238832823/,0,40,SF
2017-04-29T09:00:00-07:00,Advanced Spark and TensorFlow Meetup,"[Workshop] Intro to Data Analytics with Python, SQL, Spark, Seaborn [Discount]",32h0m0s,https://www.meetup.com/Advanced-Spark-and-TensorFlow-Meetup/events/239133584/,0,17,SF
2017-04-30T11:00:00-07:00,Ace Monster Toys,Metalworking Lab,6h0m0s,https://www.meetup.com/Ace-Monster-Toys/events/238201542/,1,1,SF
2017-04-30T13:00:00-07:00,Ace Monster Toys,Stiltwalking part 1: Building Your Stilts,4h0m0s,https://www.meetup.com/Ace-Monster-Toys/events/239308149/,11,3,SF
2017-05-01T19:00:00-07:00,Noisebridge Hackerspace,Circuit Hacking Mondays - Learn to make cool things with electronics,2h0m0s,https://www.meetup.com/noisebridge/events/238889729/,0,4,SF
2017-05-01T19:00:00-07:00,Noisebridge Hackerspace,Noisebridge Python Class - Testing Python Code,1h30m0s,https://www.meetup.com/noisebridge/events/238947413/,0,6,SF
2017-05-01T19:00:00-07:00,Ace Monster Toys,3D Printer 101 and Hangout,2h0m0s,https://www.meetup.com/Ace-Monster-Toys/events/239310933/,0,5,SF
2017-05-02T11:00:00-07:00,Noisebridge Hackerspace,Beginner-friendly freeCodeCamp Workshop,0s,https://www.meetup.com/noisebridge/events/238600527/,0,5,SF
2017-05-02T17:15:00-07:00,The Developer Network (SF/SV),Developer + Entrepreneur Mixer and Happy Hour,0s,https://www.meetup.com/developer-network/events/237750201/,0,11,SF
2017-05-02T17:30:00-07:00,East Bay Salesforce User Group,"East Bay Salesforce User Group: May 2, 2017",2h0m0s,https://www.meetup.com/East-Bay-Salesforce-User-Group/events/239344250/,25,9,SF
2017-05-02T18:00:00-07:00,RICOH THETA Developers SF Bay Area,New Technology Demos from RICOH THETA,0s,https://www.meetup.com/RICOH-THETA-Developers-SF-Bay-Area/events/239040006/,0,34,SF
2017-05-02T18:00:00-07:00,Bay Area Mesos User Group,Mesosphere and Portworx at Mesosphere HQ!,0s,https://www.meetup.com/Bay-Area-Mesos-User-Group/events/239340429/,0,28,SF
2017-05-02T18:00:00-07:00,The East Bay R Language Beginners Group,TBD,2h0m0s,https://www.meetup.com/r-enthusiasts/events/238915690/,100,8,SF
2017-05-02T18:00:00-07:00,East Bay Python Web Development,"Chat, Hack, and Hangout",3h0m0s,https://www.meetup.com/East-Bay-Python-Web-Development/events/237630403/,30,8,SF
2017-05-02T18:00:00-07:00,"OpenSMC, a Code for America Brigade for San Mateo County",OpenSMC Weekly Civic Hack Night,2h30m0s,https://www.meetup.com/opensmc/events/239379072/,0,3,SF
2017-05-02T19:00:00-07:00,Learn Web Development @ Rithm,Coding for Beginners,2h0m0s,https://www.meetup.com/rithmschool/events/238789452/,0,4,SF
2017-05-02T19:00:00-07:00,Silicon Valley Cloud Computing,Restoring Order (and Sanity) in AWS Accounts,0s,https://www.meetup.com/cloudcomputing/events/239315789/,0,22,SF
2017-05-02T19:00:00-07:00,Ace Monster Toys,Laser Cutter 101: Safety and basic operation,1h30m0s,https://www.meetup.com/Ace-Monster-Toys/events/238970039/,9,4,SF
2017-05-03T10:00:00-07:00,Weave Online User Group,Docker LinuxKit and Docker Swarm + Prometheus: Weaveworks' Docker Contributions,1h0m0s,https://www.meetup.com/Weave-User-Group/events/239378313/,0,52,SF
2017-05-03T17:30:00-07:00,International entrepreneurs in Silicon Valley,The Rise of Artificial Intelligence Marketing [#AIMA],3h0m0s,https://www.meetup.com/International-entrepreneurs-in-Silicon-Valley/events/239277114/,0,8,SF
2017-05-03T18:00:00-07:00,San Francisco Open Drinks,"Open Drinks for Annotation, Conference, and Hack Day",0s,https://www.meetup.com/SFOpenDrinks/events/238624410/,45,18,SF
2017-05-03T18:00:00-07:00,Code for San Francisco - Civic Hack Night,Project demo night!,4h0m0s,https://www.meetup.com/Code-for-San-Francisco-Civic-Hack-Night/events/239264106/,0,34,SF
2017-05-03T18:00:00-07:00,Learn to Code San Francisco,Software Engineering Daily Meetup 3: Fraud and Risk in Software,3h0m0s,https://www.meetup.com/learn-to-code-san-francisco/events/239071215/,0,8,SF
2017-05-03T18:00:00-07:00,Software Engineering Daily,Software Engineering Daily Meetup 3: Fraud and Risk in Software,0s,https://www.meetup.com/Software-Engineering-Daily/events/238996347/,0,68,SF
2017-05-03T18:00:00-07:00,East Bay Artificial Intelligence & Deep Learning,Scalable Machine Learning in R and Python with H2O,2h0m0s,https://www.meetup.com/East-Bay-Artificial-Intelligence-Deep-Learning/events/238811777/,0,58,SF
2017-05-03T19:00:00-07:00,Ace Monster Toys,Adobe Illustrator: Techniques for the AMT Laser Cutter,1h30m0s,https://www.meetup.com/Ace-Monster-Toys/events/238987018/,11,6,SF
2017-05-03T19:00:00-07:00,Association of C/C++ Users - San Francisco Bay Area,Berkeley: Generating Protocol Tests at Compile Time,1h30m0s,https://www.meetup.com/ACCU-Bay-Area/events/238849762/,0,29,SF
2017-05-04T09:00:00-07:00,SF Open Annotation Meetup,I Annotate 2017 Conference,32h0m0s,https://www.meetup.com/SFOpenAnnotation/events/238624960/,120,7,SF
2017-05-04T18:00:00-07:00,San Francisco Hardware Startups,Comprehensive Hardware Walkthrough: Experts Advise Thru Major Stages of Startup,3h0m0s,https://www.meetup.com/San-Francisco-Hardware-Massive/events/239031670/,1,2,SF
2017-05-04T18:00:00-07:00,DevOps Exchange San Francisco,DevOps Exchange May 2017  ,0s,https://www.meetup.com/DevOps-Exchange-SanFrancisco/events/238833229/,0,54,SF
2017-05-04T18:00:00-07:00,San Francisco Beacon and BLE Meetup,"What’s New in Beacon Tech, 2017? - Kurt McIntire",0s,https://www.meetup.com/San-Francisco-micro-location-meetup-ibeacons-BLE-etc/events/238747008/,0,28,SF
2017-05-04T18:00:00-07:00,BayGeo,GeoBeers,0s,https://www.meetup.com/baygeo/events/236755064/,0,11,SF
2017-05-04T18:00:00-07:00,SF Hardware,Comprehensive Hardware Walkthrough: Experts Advise Thru Major Stages of Startup,3h0m0s,https://www.meetup.com/SF-Hardware-Massive/events/239031668/,1,2,SF
2017-05-04T18:00:00-07:00,Rust Bay Area,Using Rust at Dropbox to make Magic Pocket,0s,https://www.meetup.com/Rust-Bay-Area/events/239222217/,100,100,SF
2017-05-04T18:00:00-07:00,Code Your Face Off,Functional Programming in JavaScript,0s,https://www.meetup.com/meetup-code-your-face-off/events/239218021/,0,11,SF
2017-05-04T18:00:00-07:00,Fintech at Scale,State of Machine Intelligence,2h0m0s,https://www.meetup.com/Fintech-at-Scale/events/238327101/,100,100,SF
2017-05-04T18:30:00-07:00,SFNode,May SFNode at Zymergen (Emeryville),2h30m0s,https://www.meetup.com/sfnode/events/231483341/,175,59,SF
2017-05-04T19:00:00-07:00,ArtsTech SF,The Gray Area Festival 2017,71h0m0s,https://www.meetup.com/ArtsTechSF/events/239142676/,0,9,SF
2017-05-04T19:00:00-07:00,Bay Area Software Engineers (BASE),Virtual Reality and Augmented Reality Job Fair @ UpLoadVR,2h0m0s,https://www.meetup.com/software/events/239002568/,200,36,SF
2017-05-04T19:00:00-07:00,Crate.IO: San Francisco,Putting Machine Data to Work,0s,https://www.meetup.com/CrateIO/events/239034929/,0,4,SF
2017-05-06T09:00:00-07:00,Bay Area Women in Technology Meetup,Come Hack at AngelHack's 10th Global Series!,19h0m0s,https://www.meetup.com/Bay-Area-Women-in-Technology-Meetup/events/239163370/,0,15,SF
2017-05-06T09:00:00-07:00,Advanced Spark and TensorFlow Meetup,[Workshop] Intro to Machine Learning with Python & Scikit-Learn [Discount],32h0m0s,https://www.meetup.com/Advanced-Spark-and-TensorFlow-Meetup/events/239133774/,0,7,SF
2017-05-06T09:00:00-07:00,SF Open Annotation Meetup,I Annotate 2017 Hack Day,0s,https://www.meetup.com/SFOpenAnnotation/events/238439051/,20,6,SF
2017-05-06T16:00:00-07:00,Cypherpunks Write Code,Hackathon: Holding Police Accountable with OpenOversight!,6h0m0s,https://www.meetup.com/Cypherpunks-Write-Code/events/239262719/,20,4,SF
2017-05-08T18:00:00-07:00,Software QA and Testers,"Learn Java, JUnit, TestNg and Selenium WebDriver – 6 Weeks of In-Class Bootcamp",0s,https://www.meetup.com/renttesters/events/234639302/,0,5,SF
2017-05-08T19:00:00-07:00,Noisebridge Hackerspace,Circuit Hacking Mondays - Learn to make cool things with electronics,2h0m0s,https://www.meetup.com/noisebridge/events/238889751/,0,4,SF
2017-05-08T19:00:00-07:00,Women Who Code East Bay,Code Study Meetup in Berkeley (near downtown BART) + Algorithms Study Group,2h0m0s,https://www.meetup.com/Women-Who-Code-East-Bay/events/239348823/,24,5,SF
2017-05-09T10:00:00-07:00,Weave Online User Group,Docker for devs and ops: what's new and what's next w/ Patrick Chanezon (Docker),1h0m0s,https://www.meetup.com/Weave-User-Group/events/239378166/,0,48,SF
2017-05-09T18:00:00-07:00,San Francisco Smart Toys Meetup,Smart Toys Meetup 6,0s,https://www.meetup.com/San-Francisco-Smart-Toys-Meetup/events/238918180/,0,23,SF
2017-05-09T18:00:00-07:00,Health 2.0 San Francisco,"May Meeting: Aubrey de Grey, Ph.D., - How Aging May Soon Cease to Exist",2h30m0s,https://www.meetup.com/Health2conSF/events/239308958/,1,1,SF
2017-05-09T18:30:00-07:00,OpenTable Tech Talks,Scalable and Resilient Microservices,0s,https://www.meetup.com/OpenTable-SF-Engineering/events/239179062/,120,53,SF
2017-05-10T17:30:00-07:00,Silicon Valley JavaFX User Group,JavaFX Meetup,0s,https://www.meetup.com/svjugfx/events/237661803/,135,4,SF
2017-05-10T18:00:00-07:00,Code for San Francisco - Civic Hack Night,Weekly Civic Hack Night,3h30m0s,https://www.meetup.com/Code-for-San-Francisco-Civic-Hack-Night/events/238624347/,0,5,SF
2017-05-10T19:00:00-07:00,The San Francisco WordPress Meetup,WPSFO Meetup at Automattic - Topic to be determined,0s,https://www.meetup.com/wordpress-sf/events/231396590/,0,7,SF
2017-05-10T19:00:00-07:00,Tech Talks with Acquia,Tech Talk: It’s no longer digital business. It’s just business.,0s,https://www.meetup.com/Tech-Talks-with-Acquia/events/239311636/,0,15,SF
